freq_hz,F7,F8
0.000000,8.194139,7.695822
0.488281,8.571644,8.325784
0.976562,8.506002,8.369649
1.464844,8.278423,8.113872
1.953125,8.179729,7.968886
2.441406,8.237063,7.949148
2.929688,8.245607,7.858802
3.417969,8.193785,7.844226
3.906250,8.235983,7.873912
4.394531,8.303514,7.852719
4.882812,8.322100,7.862476
5.371094,8.374803,7.851121
5.859375,8.446854,7.870252
6.347656,8.517703,7.900933
6.835938,8.579748,7.936943
7.324219,8.651222,7.961159
7.812500,8.741697,7.989336
8.300781,8.852262,8.053539
8.789062,8.976747,8.144248
9.277344,9.121663,8.223993
9.765625,9.295641,8.331187
10.253906,9.535905,8.499925
10.742188,9.873630,8.757744
11.230469,10.611985,9.483871
11.718750,11.644749,10.499913
12.207031,11.718933,10.575168
12.695312,10.814081,9.688777
13.183594,9.941950,8.990691
13.671875,9.575033,8.776984
14.160156,9.324047,8.702497
14.648438,9.142422,8.690209
15.136719,8.997316,8.728048
15.625000,8.871476,8.782782
16.113281,8.765062,8.862294
16.601562,8.679916,8.961858
17.089844,8.619380,9.085700
17.578125,8.579986,9.241197
18.066406,8.594887,9.446149
18.554688,8.701634,9.718236
19.042969,9.055733,10.206763
19.531250,10.230594,11.385826
20.019531,10.687729,11.834091
20.507812,10.166483,11.305147
20.996094,9.099236,10.135163
21.484375,8.727467,9.678996
21.972656,8.549637,9.414540
22.460938,8.404142,9.204841
22.949219,8.305112,9.040540
23.437500,8.239307,8.904619
23.925781,8.168041,8.788370
24.414062,8.109903,8.689969
24.902344,8.064818,8.596536
25.390625,8.018000,8.516655
25.878906,7.976760,8.443785
26.367188,7.927826,8.373048
26.855469,7.893378,8.310793
27.343750,7.865056,8.247873
27.832031,7.833414,8.196048
28.320312,7.806576,8.149636
28.808594,7.779742,8.097874
29.296875,7.757378,8.054733
29.785156,7.730740,8.011285
30.273438,7.705784,7.971430
30.761719,7.676102,7.939039
31.250000,7.663349,7.897506
31.738281,7.646175,7.855123
32.226562,7.616867,7.823676
32.714844,7.599696,7.789623
33.203125,7.586878,7.756877
33.691406,7.563665,7.733707
34.179688,7.546314,7.702949
34.667969,7.533148,7.672825
35.156250,7.512549,7.657882
35.644531,7.489396,7.632477
36.132812,7.462187,7.605853
36.621094,7.452407,7.575940
37.109375,7.443908,7.562103
37.597656,7.425356,7.545270
38.085938,7.411432,7.517207
38.574219,7.398991,7.493613
39.062500,7.381236,7.473264
39.550781,7.366285,7.457623
40.039062,7.353776,7.442291
40.527344,7.340897,7.416810
41.015625,7.331546,7.395787
41.503906,7.315593,7.375743
41.992188,7.308836,7.357946
42.480469,7.297667,7.345341
42.968750,7.294753,7.332330
43.457031,7.274261,7.315415
43.945312,7.260139,7.299286
44.433594,7.245875,7.283260
44.921875,7.229774,7.275166
45.410156,7.230862,7.251032
45.898438,7.215694,7.241813
46.386719,7.193138,7.227527
46.875000,7.197577,7.212922
47.363281,7.186895,7.212769
47.851562,7.172320,7.183103
48.339844,7.166610,7.175618
48.828125,7.157071,7.165749
49.316406,7.151644,7.157323
49.804688,7.143174,7.145516
