freq_hz,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
0.000000,2.081432,2.519663,2.851406,2.903986,2.883407,2.925706,2.629656,2.163518
0.488281,2.852886,3.268266,3.588530,3.619905,3.607107,3.611267,3.348619,2.890759
0.976562,2.931013,3.443184,3.762920,3.798158,3.779012,3.811844,3.523139,2.977836
1.464844,3.142372,3.685865,4.006138,4.038150,4.013688,4.057919,3.757423,3.144072
1.953125,3.024166,3.581011,3.896250,3.916922,3.878003,3.910887,3.604247,2.980322
2.441406,2.461495,3.011791,3.319499,3.341031,3.300143,3.336995,3.038173,2.428359
2.929688,2.265982,2.806947,3.117749,3.152459,3.127617,3.186370,2.897738,2.292063
3.417969,2.182261,2.732718,3.042431,3.074643,3.048526,3.106813,2.815325,2.174954
3.906250,1.956535,2.500721,2.809234,2.838627,2.810724,2.866909,2.573138,1.936575
4.394531,1.703209,2.239255,2.545376,2.578516,2.554062,2.610527,2.318685,1.707895
4.882812,1.486379,2.029733,2.334841,2.370600,2.344924,2.400075,2.103207,1.492034
5.371094,1.326019,1.863870,2.173013,2.213170,2.179524,2.227515,1.928344,1.329400
5.859375,1.176947,1.690411,1.998353,2.041278,2.008039,2.050999,1.759458,1.195570
6.347656,1.035228,1.536316,1.844786,1.886965,1.852883,1.897930,1.599907,1.041251
6.835938,0.886806,1.400335,1.719250,1.758709,1.715363,1.754919,1.441147,0.865994
7.324219,0.751705,1.243563,1.566088,1.606424,1.555827,1.577965,1.260688,0.722864
7.812500,0.665262,1.136501,1.454566,1.497307,1.450662,1.460179,1.142737,0.654563
8.300781,0.634136,1.038136,1.348983,1.395435,1.348648,1.365933,1.065646,0.668933
8.789062,0.542087,0.928696,1.225340,1.267637,1.219984,1.230980,0.935955,0.595131
9.277344,0.429642,0.822610,1.087038,1.117189,1.051714,1.048390,0.764620,0.444017
9.765625,0.377798,0.748084,1.012580,1.055253,0.992607,1.004357,0.725504,0.402408
10.253906,0.264237,0.598854,0.860811,0.897760,0.841756,0.858374,0.597799,0.301719
10.742188,0.205095,0.505461,0.772980,0.794377,0.723356,0.721533,0.492644,0.263366
11.230469,0.143581,0.405989,0.653588,0.669853,0.597518,0.601060,0.389673,0.187316
11.718750,0.112508,0.350620,0.586268,0.602971,0.540264,0.553217,0.344799,0.136135
12.207031,0.041608,0.270017,0.487024,0.506619,0.441063,0.471204,0.264969,0.074495
12.695312,-0.016756,0.175234,0.373014,0.386689,0.303078,0.320826,0.142662,-0.008049
13.183594,-0.067965,0.091952,0.246770,0.267367,0.183927,0.184313,0.056400,-0.046848
13.671875,-0.094998,0.064927,0.203967,0.223012,0.152870,0.155341,0.049838,-0.055796
14.160156,-0.126190,0.010715,0.153863,0.181816,0.099014,0.125231,0.026345,-0.083034
14.648438,-0.172900,-0.059009,0.068309,0.092306,0.021257,0.042541,-0.024015,-0.076937
15.136719,-0.113242,-0.054170,0.068190,0.078718,0.022658,0.047996,-0.043672,-0.055355
15.625000,-0.100982,-0.121697,-0.007595,0.000213,-0.056872,-0.021037,-0.062754,-0.116378
16.113281,-0.150904,-0.155619,-0.075189,-0.086604,-0.139427,-0.094989,-0.111954,-0.187267
16.601562,-0.097411,-0.084013,-0.069308,-0.075985,-0.104607,-0.072412,-0.049971,-0.150198
17.089844,-0.043262,-0.074106,-0.099791,-0.103148,-0.109313,-0.057380,-0.068880,-0.164238
17.578125,-0.050346,-0.097771,-0.136180,-0.155733,-0.187004,-0.141539,-0.155007,-0.225342
18.066406,-0.077283,-0.134803,-0.195587,-0.204077,-0.242935,-0.184961,-0.180277,-0.225112
18.554688,-0.089440,-0.150261,-0.215927,-0.247516,-0.257303,-0.179038,-0.185246,-0.204484
19.042969,-0.101718,-0.213734,-0.278531,-0.320891,-0.326510,-0.256135,-0.218928,-0.235127
19.531250,-0.118140,-0.242882,-0.306971,-0.315039,-0.321027,-0.268672,-0.229651,-0.284695
20.019531,-0.100726,-0.197933,-0.291566,-0.311746,-0.311273,-0.261953,-0.291200,-0.341640
20.507812,-0.140289,-0.189240,-0.296255,-0.366818,-0.352582,-0.298070,-0.313068,-0.323870
20.996094,-0.160883,-0.207496,-0.302011,-0.361171,-0.362718,-0.312533,-0.311644,-0.334592
21.484375,-0.129645,-0.187585,-0.313815,-0.347287,-0.356313,-0.316665,-0.315180,-0.324331
21.972656,-0.183506,-0.244885,-0.408979,-0.422923,-0.426143,-0.370201,-0.388955,-0.365358
22.460938,-0.202673,-0.242787,-0.389326,-0.436665,-0.433807,-0.380233,-0.342469,-0.395568
22.949219,-0.216184,-0.236988,-0.373018,-0.449934,-0.425419,-0.343729,-0.274787,-0.369616
23.437500,-0.266724,-0.270604,-0.397405,-0.462260,-0.436731,-0.349838,-0.272466,-0.345017
23.925781,-0.327527,-0.315507,-0.450260,-0.497682,-0.489139,-0.395374,-0.323324,-0.383506
24.414062,-0.306369,-0.301408,-0.400515,-0.459693,-0.460799,-0.397509,-0.353111,-0.384705
24.902344,-0.353297,-0.329286,-0.371922,-0.463177,-0.445710,-0.399935,-0.349029,-0.349009
25.390625,-0.400051,-0.370953,-0.456063,-0.498905,-0.477616,-0.417301,-0.377583,-0.370056
25.878906,-0.394954,-0.382248,-0.456028,-0.513625,-0.512256,-0.461679,-0.366499,-0.447404
26.367188,-0.421979,-0.421116,-0.479886,-0.551212,-0.538792,-0.459852,-0.376580,-0.418079
26.855469,-0.428559,-0.420019,-0.502552,-0.546378,-0.536869,-0.445540,-0.325609,-0.489531
27.343750,-0.424140,-0.407793,-0.503607,-0.546474,-0.536309,-0.480141,-0.326437,-0.493177
27.832031,-0.441798,-0.453253,-0.544949,-0.584704,-0.575664,-0.531483,-0.418250,-0.487448
28.320312,-0.442196,-0.472124,-0.561535,-0.623628,-0.601455,-0.548216,-0.497828,-0.562727
28.808594,-0.416113,-0.489573,-0.579480,-0.655232,-0.643364,-0.568753,-0.515992,-0.559711
29.296875,-0.409824,-0.470325,-0.569964,-0.632971,-0.642746,-0.557813,-0.480153,-0.546955
29.785156,-0.397819,-0.462147,-0.540683,-0.574562,-0.556900,-0.464299,-0.314787,-0.553477
30.273438,-0.393201,-0.499042,-0.634114,-0.686264,-0.646010,-0.540171,-0.340139,-0.573901
30.761719,-0.370112,-0.492406,-0.616889,-0.680412,-0.658460,-0.560912,-0.336696,-0.576524
31.250000,-0.374485,-0.501924,-0.624330,-0.661048,-0.654633,-0.554165,-0.333890,-0.523075
31.738281,-0.376636,-0.462033,-0.649678,-0.693151,-0.700441,-0.592582,-0.431807,-0.581005
32.226562,-0.355686,-0.437184,-0.637690,-0.694144,-0.686027,-0.572031,-0.400849,-0.578932
32.714844,-0.357444,-0.456016,-0.620533,-0.688859,-0.692704,-0.580271,-0.397017,-0.518323
33.203125,-0.365864,-0.460626,-0.593242,-0.675040,-0.671592,-0.580125,-0.379287,-0.495185
33.691406,-0.341238,-0.440388,-0.571558,-0.672456,-0.700446,-0.605485,-0.427931,-0.528354
34.179688,-0.359974,-0.428892,-0.587711,-0.670956,-0.693442,-0.604976,-0.456490,-0.587967
34.667969,-0.322527,-0.417643,-0.609189,-0.711590,-0.704349,-0.620792,-0.488870,-0.660967
35.156250,-0.317118,-0.464416,-0.660338,-0.766351,-0.758571,-0.679105,-0.506544,-0.603431
35.644531,-0.270906,-0.433105,-0.635539,-0.719177,-0.720225,-0.659593,-0.481023,-0.582608
36.132812,-0.268948,-0.449526,-0.662823,-0.771030,-0.759691,-0.685714,-0.535928,-0.501536
36.621094,-0.285344,-0.445669,-0.673179,-0.822642,-0.806695,-0.692397,-0.526461,-0.496124
37.109375,-0.291736,-0.444354,-0.695942,-0.838318,-0.842875,-0.739851,-0.608992,-0.560184
37.597656,-0.279207,-0.459740,-0.705086,-0.861950,-0.840078,-0.769049,-0.550768,-0.482549
38.085938,-0.276937,-0.484152,-0.713115,-0.852233,-0.808876,-0.755708,-0.560421,-0.481206
38.574219,-0.249523,-0.480454,-0.724867,-0.889522,-0.846901,-0.757306,-0.496596,-0.542065
39.062500,-0.264709,-0.466382,-0.704380,-0.841285,-0.809644,-0.707139,-0.456364,-0.562005
39.550781,-0.262429,-0.430855,-0.661108,-0.772175,-0.749613,-0.658978,-0.443137,-0.517353
40.039062,-0.264928,-0.426903,-0.664553,-0.812021,-0.811280,-0.731892,-0.530539,-0.653910
40.527344,-0.236364,-0.437366,-0.663787,-0.812512,-0.834659,-0.796891,-0.669790,-0.645778
41.015625,-0.289142,-0.456687,-0.682317,-0.801689,-0.794245,-0.713337,-0.565571,-0.719699
41.503906,-0.303184,-0.499213,-0.729522,-0.845815,-0.827713,-0.715352,-0.501914,-0.758371
41.992188,-0.294239,-0.430266,-0.686701,-0.834702,-0.819272,-0.716507,-0.533951,-0.635962
42.480469,-0.271754,-0.404633,-0.651706,-0.844144,-0.854464,-0.734808,-0.518320,-0.671384
42.968750,-0.223238,-0.348817,-0.577258,-0.787949,-0.796879,-0.713445,-0.474125,-0.716043
43.457031,-0.292132,-0.376538,-0.587522,-0.815991,-0.835034,-0.759908,-0.470360,-0.776915
43.945312,-0.282438,-0.405401,-0.646688,-0.828080,-0.835226,-0.706040,-0.434623,-0.718573
44.433594,-0.288782,-0.415383,-0.643695,-0.773265,-0.768647,-0.665119,-0.395804,-0.690932
44.921875,-0.339923,-0.429220,-0.636069,-0.785073,-0.771653,-0.661860,-0.442107,-0.762278
45.410156,-0.347409,-0.478849,-0.663343,-0.818330,-0.807536,-0.679788,-0.497689,-0.818964
45.898438,-0.407830,-0.525731,-0.708609,-0.854627,-0.859808,-0.743944,-0.633229,-0.740039
46.386719,-0.396598,-0.546759,-0.757265,-0.917620,-0.934021,-0.833025,-0.758304,-0.732792
46.875000,-0.395218,-0.543267,-0.762875,-0.918294,-0.935886,-0.852251,-0.714543,-0.724184
47.363281,-0.364560,-0.507825,-0.759665,-0.865603,-0.916706,-0.827564,-0.628802,-0.749100
47.851562,-0.386255,-0.494587,-0.713330,-0.852096,-0.896539,-0.772691,-0.533397,-0.786143
48.339844,-0.407916,-0.501941,-0.726700,-0.882651,-0.917702,-0.822773,-0.504518,-0.822223
48.828125,-0.373728,-0.503839,-0.741250,-0.886716,-0.898001,-0.799280,-0.428027,-0.812710
49.316406,-0.163851,-0.234418,-0.477933,-0.282007,-0.405573,-0.370670,-0.276889,-0.569867
49.804688,0.884222,0.802523,0.552747,0.963347,0.775344,0.752161,0.507609,0.473736
