freq_hz,ch0,ch1
0.000000,2.915713,2.704710
0.488281,3.709390,3.460973
0.976562,3.604894,3.356079
1.464844,3.436702,3.129026
1.953125,3.228861,2.921868
2.441406,3.031171,2.729164
2.929688,2.909497,2.619469
3.417969,2.666023,2.381821
3.906250,2.479951,2.212732
4.394531,2.295072,2.055393
4.882812,2.123017,1.895214
5.371094,1.908878,1.666774
5.859375,1.745912,1.515601
6.347656,1.605945,1.376005
6.835938,1.475454,1.254066
7.324219,1.344044,1.133648
7.812500,1.216314,1.024016
8.300781,1.081170,0.928094
8.789062,0.982821,0.870181
9.277344,0.894545,0.804780
9.765625,0.803871,0.727533
10.253906,0.694763,0.622847
10.742188,0.686083,0.602759
11.230469,0.631292,0.587603
11.718750,0.549383,0.515994
12.207031,0.453081,0.431195
12.695312,0.456051,0.434712
13.183594,0.448967,0.430956
13.671875,0.427876,0.415293
14.160156,0.366133,0.402949
14.648438,0.394541,0.419951
15.136719,0.410888,0.425585
15.625000,0.367318,0.373210
16.113281,0.362023,0.389064
16.601562,0.373949,0.404910
17.089844,0.360406,0.382226
17.578125,0.334287,0.361868
18.066406,0.295532,0.348587
18.554688,0.262144,0.345768
19.042969,0.197624,0.317535
19.531250,0.207050,0.348645
20.019531,0.180722,0.345342
20.507812,0.163999,0.303393
20.996094,0.187653,0.309658
21.484375,0.170144,0.297430
21.972656,0.170558,0.312506
22.460938,0.228140,0.353413
22.949219,0.234428,0.353195
23.437500,0.173800,0.273501
23.925781,0.105241,0.227479
24.414062,0.182362,0.279816
24.902344,0.185795,0.319113
25.390625,0.222549,0.381280
25.878906,0.230480,0.418285
26.367188,0.213426,0.412626
26.855469,0.179286,0.378402
27.343750,0.140943,0.357351
27.832031,0.129271,0.373951
28.320312,0.159533,0.398876
28.808594,0.199948,0.421391
29.296875,0.239522,0.460166
29.785156,0.204530,0.465068
30.273438,0.192674,0.396887
30.761719,0.222905,0.399824
31.250000,0.241254,0.375810
31.738281,0.299603,0.451803
32.226562,0.291193,0.471963
32.714844,0.284697,0.474705
33.203125,0.272008,0.466335
33.691406,0.231043,0.419119
34.179688,0.199713,0.423926
34.667969,0.198488,0.422293
35.156250,0.168305,0.420187
35.644531,0.157543,0.432513
36.132812,0.175617,0.379654
36.621094,0.208161,0.410903
37.109375,0.218875,0.419073
37.597656,0.228646,0.456386
38.085938,0.213527,0.421048
38.574219,0.168305,0.408687
39.062500,0.160953,0.427666
39.550781,0.183192,0.419495
40.039062,0.166711,0.421391
40.527344,0.101974,0.392929
41.015625,0.082823,0.408784
41.503906,0.105936,0.378954
41.992188,0.137211,0.366418
42.480469,0.119263,0.337647
42.968750,0.136216,0.311633
43.457031,0.112432,0.296667
43.945312,0.139159,0.329396
44.433594,0.125892,0.390822
44.921875,0.131721,0.448408
45.410156,0.078471,0.368057
45.898438,0.031671,0.260486
46.386719,0.078310,0.322353
46.875000,0.089889,0.337524
47.363281,0.056930,0.313811
47.851562,0.023237,0.255091
48.339844,0.020518,0.222220
48.828125,-0.000796,0.222574
49.316406,-0.005442,0.259673
49.804688,0.000571,0.311084
