freq_hz,ch0,ch1
0.000000,-9.100939,-9.323756
0.488281,-8.313304,-8.466164
0.976562,-8.462531,-8.567745
1.464844,-8.532735,-8.603910
1.953125,-8.834317,-8.921481
2.441406,-8.907829,-8.990250
2.929688,-9.067646,-9.120390
3.417969,-9.227290,-9.319510
3.906250,-9.564794,-9.633954
4.394531,-9.746774,-9.775999
4.882812,-9.878678,-9.953004
5.371094,-10.023989,-10.072495
5.859375,-10.287495,-10.300592
6.347656,-10.397525,-10.401410
6.835938,-10.570449,-10.560726
7.324219,-10.568931,-10.605440
7.812500,-10.563322,-10.658311
8.300781,-10.827762,-10.876202
8.789062,-11.094834,-11.028208
9.277344,-10.959839,-10.913492
9.765625,-11.070834,-11.017360
10.253906,-11.245667,-11.296739
10.742188,-11.039060,-11.112900
11.230469,-11.295008,-11.371803
11.718750,-11.374025,-11.406425
12.207031,-11.318493,-11.384064
12.695312,-11.473971,-11.566837
13.183594,-11.626395,-11.651445
13.671875,-11.580330,-11.632375
14.160156,-11.397513,-11.442731
14.648438,-11.379887,-11.411630
15.136719,-11.654568,-11.696363
15.625000,-11.658224,-11.710489
16.113281,-11.742408,-11.758569
16.601562,-11.743913,-11.759733
17.089844,-11.742928,-11.743093
17.578125,-11.859439,-11.853782
18.066406,-11.795595,-11.798523
18.554688,-11.740490,-11.702516
19.042969,-11.713877,-11.724725
19.531250,-11.776104,-11.755749
20.019531,-11.947081,-11.921884
20.507812,-11.852177,-11.905133
20.996094,-11.931787,-12.011245
21.484375,-12.002160,-12.072516
21.972656,-11.987959,-11.961633
22.460938,-11.890372,-11.862943
22.949219,-11.908918,-11.910140
23.437500,-11.913756,-11.810345
23.925781,-11.912150,-11.901536
24.414062,-11.979266,-12.009463
24.902344,-11.904310,-11.844143
25.390625,-11.731702,-11.713863
25.878906,-11.716513,-11.752304
26.367188,-11.839037,-11.907771
26.855469,-11.875976,-11.946196
27.343750,-11.877538,-11.927890
27.832031,-11.887613,-11.987536
28.320312,-12.019355,-12.101556
28.808594,-12.075539,-12.168012
29.296875,-11.942691,-12.042783
29.785156,-11.784811,-11.900941
30.273438,-11.867158,-12.026586
30.761719,-11.883713,-12.019143
31.250000,-11.822207,-12.057540
31.738281,-11.898260,-12.051857
32.226562,-12.043064,-12.123352
32.714844,-12.090446,-12.109975
33.203125,-11.952231,-11.931430
33.691406,-11.841401,-11.870336
34.179688,-12.079454,-12.096705
34.667969,-11.991925,-11.936383
35.156250,-11.888110,-11.901002
35.644531,-11.948971,-11.819093
36.132812,-11.985651,-11.759945
36.621094,-11.915420,-11.801210
37.109375,-11.904430,-11.937688
37.597656,-12.005697,-11.994076
38.085938,-11.992236,-11.936271
38.574219,-12.017138,-11.887503
39.062500,-11.815766,-11.901887
39.550781,-11.958957,-12.019493
40.039062,-12.174237,-12.242894
40.527344,-12.143882,-12.184760
41.015625,-11.944079,-12.031992
41.503906,-12.002400,-12.070830
41.992188,-12.032416,-11.850597
42.480469,-12.050035,-11.846849
42.968750,-12.119129,-11.955336
43.457031,-12.031666,-11.993962
43.945312,-12.142850,-11.972246
44.433594,-12.033281,-11.789044
44.921875,-11.800543,-11.725216
45.410156,-11.823454,-11.790724
45.898438,-11.862430,-11.967218
46.386719,-11.995371,-11.898515
46.875000,-11.990330,-11.914856
47.363281,-11.946547,-11.895911
47.851562,-12.132728,-12.057417
48.339844,-11.996759,-11.897929
48.828125,-12.242727,-12.104531
49.316406,-12.279739,-11.962032
49.804688,-12.169038,-11.920259
