freq_hz,ch1,ch2,ch3
0.000000,1.388241,1.462089,1.585790
0.488281,2.297256,2.254258,2.346534
0.976562,1.622220,1.535677,1.566723
1.464844,0.998742,1.072968,0.961125
1.953125,0.692748,0.820732,0.776837
2.441406,0.463961,0.589875,0.539687
2.929688,0.592596,0.847609,0.754081
3.417969,0.472487,0.745619,0.638578
3.906250,0.106564,0.362695,0.306971
4.394531,0.350673,0.617331,0.603509
4.882812,0.435662,0.671601,0.686356
5.371094,0.128639,0.369619,0.350742
5.859375,0.240525,0.422538,0.413242
6.347656,0.354872,0.488931,0.491007
6.835938,0.268863,0.262211,0.290553
7.324219,0.452180,0.391699,0.485598
7.812500,0.658383,0.623887,0.733767
8.300781,0.557589,0.535161,0.630785
8.789062,0.560139,0.517276,0.611268
9.277344,0.667819,0.593611,0.731950
9.765625,0.700836,0.600732,0.761878
10.253906,0.740737,0.591448,0.794910
10.742188,0.782624,0.627557,0.814173
11.230469,0.729378,0.620495,0.801547
11.718750,0.661159,0.625150,0.796028
12.207031,0.619148,0.620892,0.822970
12.695312,0.594027,0.558478,0.774126
13.183594,0.589096,0.478246,0.716399
13.671875,0.563913,0.536599,0.774441
14.160156,0.521865,0.488371,0.727496
14.648438,0.469506,0.355839,0.572163
15.136719,0.475335,0.454331,0.598102
15.625000,0.480858,0.541472,0.696447
16.113281,0.403856,0.414600,0.629986
16.601562,0.381937,0.266978,0.495851
17.089844,0.446263,0.249413,0.446602
17.578125,0.485900,0.247318,0.468345
18.066406,0.463055,0.217517,0.456754
18.554688,0.507293,0.294184,0.462758
19.042969,0.493709,0.421158,0.555222
19.531250,0.520347,0.417252,0.599006
20.019531,0.576265,0.337412,0.560398
20.507812,0.567852,0.325827,0.544075
20.996094,0.537281,0.381796,0.594625
21.484375,0.588081,0.337585,0.553127
21.972656,0.653667,0.355083,0.577957
22.460938,0.636088,0.473854,0.701681
22.949219,0.583799,0.470351,0.716263
23.437500,0.592690,0.445007,0.741358
23.925781,0.617605,0.476980,0.732140
24.414062,0.667024,0.540389,0.773112
24.902344,0.692050,0.580569,0.793940
25.390625,0.656119,0.554752,0.797523
25.878906,0.613800,0.483539,0.779233
26.367188,0.646242,0.452510,0.747838
26.855469,0.572333,0.402535,0.735568
27.343750,0.517405,0.393337,0.725235
27.832031,0.550359,0.426063,0.741925
28.320312,0.570220,0.420924,0.739410
28.808594,0.592440,0.375620,0.706610
29.296875,0.644675,0.439794,0.681083
29.785156,0.600982,0.404705,0.638165
30.273438,0.598231,0.434896,0.679456
30.761719,0.603500,0.451601,0.693825
31.250000,0.555989,0.371625,0.653528
31.738281,0.573758,0.332373,0.598021
32.226562,0.578515,0.363030,0.639058
32.714844,0.588887,0.381518,0.655010
33.203125,0.593009,0.421456,0.659266
33.691406,0.564155,0.391811,0.662827
34.179688,0.585899,0.334041,0.705782
34.667969,0.574913,0.362527,0.693650
35.156250,0.590705,0.376263,0.640394
35.644531,0.584914,0.340337,0.638339
36.132812,0.575683,0.393152,0.662225
36.621094,0.586718,0.409219,0.678495
37.109375,0.575998,0.354508,0.641135
37.597656,0.610065,0.436248,0.687361
38.085938,0.592222,0.463350,0.712124
38.574219,0.614480,0.421016,0.713404
39.062500,0.622762,0.431488,0.734274
39.550781,0.609332,0.443999,0.725964
40.039062,0.604916,0.363407,0.702262
40.527344,0.588995,0.343067,0.698963
41.015625,0.580536,0.361405,0.687917
41.503906,0.573892,0.298784,0.631401
41.992188,0.584874,0.283242,0.581960
42.480469,0.570140,0.265003,0.573671
42.968750,0.592231,0.314663,0.604878
43.457031,0.547523,0.344070,0.612897
43.945312,0.501091,0.276923,0.607473
44.433594,0.523551,0.289118,0.654621
44.921875,0.533846,0.297790,0.642079
45.410156,0.538937,0.305188,0.609712
45.898438,0.504498,0.248905,0.603420
46.386719,0.518512,0.259991,0.562135
46.875000,0.550152,0.308135,0.573811
47.363281,0.531913,0.285507,0.608123
47.851562,0.561012,0.237462,0.565871
48.339844,0.572943,0.274213,0.586073
48.828125,0.567690,0.339407,0.570605
49.316406,0.663063,0.846242,0.645732
49.804688,1.347889,1.778769,0.999259
