freq_hz,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
0.000000,-10.031302,-9.966896,-8.252395,-8.791374,-8.000661,-9.744023,-8.624866,-9.968038
0.488281,-8.878819,-8.869940,-7.570398,-8.126753,-7.218946,-8.818378,-7.889159,-8.806107
0.976562,-9.561147,-9.443384,-8.146837,-8.388210,-7.814843,-9.344880,-8.395512,-9.751308
1.464844,-9.818855,-9.883194,-8.703386,-8.647706,-8.472630,-9.818660,-8.974145,-10.541592
1.953125,-10.050104,-10.104540,-9.030486,-8.880712,-8.815754,-9.994978,-9.491175,-10.718897
2.441406,-10.212631,-10.247415,-9.109315,-9.009996,-9.146693,-10.096237,-10.168085,-10.802137
2.929688,-10.363543,-10.450450,-9.484134,-9.327833,-9.490184,-10.280969,-10.060600,-10.877303
3.417969,-10.426637,-10.514839,-9.995507,-9.776225,-9.893916,-10.421369,-10.208515,-10.773142
3.906250,-10.466460,-10.487919,-10.134770,-9.828754,-9.926127,-10.543215,-10.398107,-10.809156
4.394531,-10.653581,-10.550768,-10.198781,-9.898258,-10.060674,-10.588187,-10.485527,-10.951087
4.882812,-10.804150,-10.669133,-10.405288,-10.076289,-10.222671,-10.624443,-10.642642,-11.122874
5.371094,-10.845065,-10.710687,-10.583852,-10.255265,-10.222931,-10.792614,-10.803226,-11.361280
5.859375,-10.865304,-10.769296,-10.507925,-10.294372,-10.321405,-10.853539,-10.686028,-11.458536
6.347656,-10.995474,-10.882011,-10.412645,-10.277777,-10.308698,-10.882239,-10.703063,-11.670570
6.835938,-11.167245,-11.071083,-10.620386,-10.413154,-10.491809,-11.013256,-10.898864,-11.582254
7.324219,-11.234742,-11.129762,-10.829666,-10.635738,-10.759027,-11.045463,-10.835587,-11.673490
7.812500,-11.202406,-11.118387,-10.984160,-10.713773,-10.791770,-10.988933,-10.784233,-11.765631
8.300781,-11.120037,-11.119563,-11.007569,-10.763948,-10.860723,-11.076289,-10.770371,-11.760165
8.789062,-11.101523,-11.124625,-11.042582,-10.794893,-10.938916,-11.155188,-10.772186,-11.772135
9.277344,-11.130834,-11.116662,-11.041987,-10.796303,-10.991607,-11.219440,-10.877231,-11.707373
9.765625,-11.226203,-11.174311,-11.115566,-10.905897,-11.002771,-11.227024,-11.176924,-11.679061
10.253906,-11.275694,-11.201489,-11.285070,-11.048382,-10.935577,-11.243958,-11.300336,-11.805706
10.742188,-11.345651,-11.301734,-11.317053,-11.026973,-10.941382,-11.350673,-11.256561,-11.814741
11.230469,-11.478268,-11.424781,-11.341669,-11.091307,-11.230162,-11.463265,-11.295155,-11.821578
11.718750,-11.540117,-11.510323,-11.379662,-11.160358,-11.203492,-11.514262,-11.289549,-11.986665
12.207031,-11.591171,-11.575483,-11.566753,-11.393737,-11.205571,-11.582851,-11.341521,-12.001713
12.695312,-11.603283,-11.561137,-11.557884,-11.449488,-11.350165,-11.566408,-11.477610,-11.999850
13.183594,-11.603465,-11.529930,-11.504401,-11.418708,-11.440531,-11.569601,-11.359361,-12.043876
13.671875,-11.601500,-11.548736,-11.496369,-11.360772,-11.511326,-11.525213,-11.456919,-12.103147
14.160156,-11.630311,-11.603732,-11.527282,-11.416545,-11.533871,-11.531294,-11.402089,-12.127370
14.648438,-11.686713,-11.638142,-11.567431,-11.461188,-11.529785,-11.616702,-11.228692,-12.098035
15.136719,-11.671997,-11.609813,-11.569320,-11.398964,-11.488009,-11.625965,-11.358224,-12.100916
15.625000,-11.692457,-11.639063,-11.634188,-11.447996,-11.536175,-11.629044,-11.585484,-12.135149
16.113281,-11.782286,-11.708450,-11.646400,-11.537924,-11.545809,-11.615543,-11.515850,-12.147287
16.601562,-11.868217,-11.794102,-11.709321,-11.657893,-11.597378,-11.695352,-11.544436,-12.093000
17.089844,-11.815656,-11.748581,-11.710848,-11.643271,-11.625090,-11.674278,-11.650377,-12.106505
17.578125,-11.810662,-11.744113,-11.708199,-11.680085,-11.668099,-11.668963,-11.667413,-12.154141
18.066406,-11.819867,-11.771954,-11.707318,-11.720716,-11.665395,-11.739748,-11.684184,-12.149203
18.554688,-11.838534,-11.778769,-11.712091,-11.695995,-11.602267,-11.737946,-11.693018,-12.152043
19.042969,-11.853794,-11.789288,-11.762462,-11.752286,-11.685927,-11.711155,-11.737245,-12.128042
19.531250,-11.878656,-11.805984,-11.790464,-11.765741,-11.747576,-11.732077,-11.701278,-12.177486
20.019531,-11.903057,-11.825379,-11.814831,-11.790594,-11.702776,-11.798143,-11.743741,-12.261431
20.507812,-11.943369,-11.875761,-11.860538,-11.844797,-11.729504,-11.883664,-11.778905,-12.293413
20.996094,-11.941072,-11.897863,-11.861914,-11.858199,-11.793201,-11.874036,-11.759769,-12.255610
21.484375,-11.921375,-11.891446,-11.847149,-11.858144,-11.843945,-11.863367,-11.793522,-12.209502
21.972656,-11.949985,-11.911952,-11.868495,-11.859393,-11.824641,-11.888204,-11.731858,-12.259056
22.460938,-11.976114,-11.912697,-11.861575,-11.852035,-11.807821,-11.877250,-11.761955,-12.270120
22.949219,-12.005487,-11.930908,-11.873065,-11.859277,-11.836197,-11.876027,-11.823049,-12.341290
23.437500,-11.966065,-11.895691,-11.842412,-11.847001,-11.823768,-11.831613,-11.742455,-12.372494
23.925781,-11.986682,-11.918740,-11.851726,-11.859924,-11.858201,-11.879026,-11.754839,-12.381236
24.414062,-11.946504,-11.863975,-11.812430,-11.806284,-11.793043,-11.836899,-11.753654,-12.290627
24.902344,-11.865252,-11.772784,-11.744958,-11.742825,-11.719211,-11.738892,-11.608598,-12.172080
25.390625,-12.005286,-11.913967,-11.875140,-11.862114,-11.856586,-11.876695,-11.772408,-12.439462
